,D_c,D_z_1,D_z_2
0,0.9334,1.426,1.5696
1,1.86,2.3294,2.4704
2,2.7624,3.242,3.3842
3,3.676,4.195,4.3334
4,4.626,5.13,5.2704
5,5.564,6.08,6.2212
6,6.513,7.0534,7.1888
7,7.4804,7.968,8.1066
8,8.402,8.898,9.04
9,9.3314,9.85,9.991
10,10.2794,10.776,10.9176
11,11.2084,11.73,11.877
12,12.166,12.687,12.8278
13,13.1234,13.6024,13.743
14,14.034,14.545,14.6858
15,14.9774,15.4804,15.62
16,15.9124,16.3914,16.53
17,16.8224,17.337,17.4786
18,17.7704,18.2864,18.426
19,18.723,19.219,19.357
20,19.649,20.169,20.3206
21,20.6144,21.1134,21.2526
22,21.543,22.035,22.1784
23,22.4714,22.9864,23.1272
24,23.3998,23.901,24.0436
25,24.328,24.817,24.9736
26,25.257,25.785,25.932
27,26.191,26.692,26.8376
28,27.1254,27.6134,27.7616
29,28.0484,28.56,28.6962
30,28.9894,29.454,29.6066
31,29.893,30.3784,30.5228
32,30.815,31.271,31.4096
33,31.6984,32.1374,32.284
34,32.5764,33.025,33.1754
35,33.4634,33.907,34.0478
36,34.3374,34.763,34.9176
37,35.2034,35.6734,35.8122
38,36.1004,36.551,36.6884
39,36.978,37.441,37.591
40,37.879,38.3824,38.5244
41,38.8154,39.2684,39.4098
42,39.6974,40.176,40.3196
43,40.6074,41.101,41.2406
44,41.531,41.967,42.107
45,42.396,42.838,42.9818
46,43.2694,43.748,43.8864
47,44.179,44.635,44.7758
48,45.0624,45.5334,45.6762
49,45.962,46.4514,46.5942
50,46.88,47.3284,47.4694
51,47.757,48.2134,48.3582
52,48.671,49.128,49.276
53,49.584,50.0684,50.2084
54,50.497,50.982,51.1212
55,51.41,51.9234,52.0754
56,52.3654,52.8914,53.0312
57,53.323,53.8124,53.9644
58,54.2534,54.7734,54.917
59,55.2064,55.681,55.8326
60,56.1224,56.597,56.7472
61,57.0354,57.534,57.6752
62,57.965,58.414,58.5674
63,58.854,59.353,59.4912
64,59.778,60.289,60.4418
65,60.7334,61.209,61.359
66,61.647,62.15,62.302
67,62.592,63.124,63.2716
68,63.5644,64.0654,64.1984
69,64.489,65.0064,65.146
70,65.434,65.963,66.1098
71,66.4,66.9124,67.046
72,67.3354,67.845,67.9956
73,68.284,68.8204,68.9624
74,69.254,69.7564,69.892
75,70.181,70.6994,70.8448
76,71.134,71.665,71.801
77,72.091,72.5804,72.7286
78,73.016,73.5374,73.6898
79,73.9744,74.487,74.6366
80,74.929,75.417,75.5522
81,75.8414,76.34,76.489
82,76.779,77.2754,77.4116
83,77.701,78.159,78.3042
84,78.5924,79.0804,79.2244
85,79.5144,80.002,80.141
86,80.4304,80.894,81.0322
87,81.3174,81.7954,81.934
88,82.223,82.615,82.754
89,83.0404,83.399,83.543
90,83.831,84.231,84.3764
91,84.665,85.116,85.26
92,85.553,86.0074,86.1438
93,86.436,86.9134,87.0556
94,87.3424,87.8384,87.9828
95,88.2734,88.7384,88.881
96,89.171,89.652,89.7954
97,90.0874,90.572,90.7126
98,91.005,91.45,91.5962
99,91.8864,92.357,92.5012
100,92.785,93.261,93.4038
101,93.6914,94.1354,94.2766
102,94.561,95.021,95.1662
103,95.4504,95.9324,96.0702
104,96.359,96.806,96.946
105,97.2324,97.7094,97.8548
106,98.142,98.6704,98.81
107,99.1014,99.5824,99.7254
108,100.011,100.5184,100.6624
109,100.9514,101.4594,101.6028
110,101.895,102.376,102.5224
111,102.8074,103.323,103.4722
112,103.7574,104.255,104.3892
113,104.676,105.16,105.312
114,105.598,106.0974,106.246
115,106.5334,107.004,107.1556
116,107.442,107.9274,108.0776
117,108.3654,108.873,109.013
118,109.3024,109.788,109.9228
119,110.209,110.71,110.8604
120,111.1484,111.6534,111.799
121,112.0914,112.57,112.7072
122,112.9944,113.4874,113.634
123,113.92,114.4144,114.5534
124,114.8444,115.2884,115.4326
125,115.7184,116.194,116.337
126,116.6264,117.099,117.2378
127,117.5264,117.958,118.1024
128,118.3884,118.855,118.9966
129,119.284,119.7614,119.904
130,120.1934,120.661,120.8042
131,121.093,121.6014,121.7462
132,122.031,122.545,122.6828
133,122.9714,123.439,123.582
134,123.868,124.3544,124.5004
135,124.7874,125.2794,125.4232
136,125.717,126.1624,126.3052
137,126.592,127.058,127.2034
138,127.489,127.9644,128.1058
139,128.397,128.8414,128.9842
140,129.274,129.737,129.883
141,130.1664,130.627,130.7696
142,131.0574,131.4894,131.631
143,131.916,132.378,132.5226
144,132.812,133.278,133.4268
145,133.7144,134.1604,134.3016
146,134.59,135.0584,135.2052
147,135.4954,135.987,136.1264
148,136.4114,136.872,137.0122
149,137.3004,137.773,137.9152
150,138.198,138.6444,138.7826
151,139.0684,139.477,139.6194
152,139.904,140.3344,140.4764
153,140.7624,141.229,141.3752
154,141.661,142.118,142.2582
155,142.543,142.95,143.093
156,143.3774,143.7634,143.9172
157,144.202,144.563,144.7046
158,144.985,145.3344,145.4912
159,145.772,146.157,146.304
160,146.5914,147.0034,147.1498
161,147.437,147.904,148.047
162,148.3324,148.822,148.9624
163,149.251,149.6924,149.836
164,150.1164,150.578,150.722
165,151.0114,151.4554,151.5996
166,151.887,152.2924,152.436
167,152.7184,153.1264,153.2732
168,153.56,153.973,154.1142
169,154.398,154.7764,154.9166
170,155.198,155.563,155.7124
171,155.9944,156.388,156.5346
172,156.816,157.2184,157.364
173,157.6494,158.0504,158.1944
174,158.478,158.9594,159.105
175,159.389,159.888,160.0266
176,160.315,160.7734,160.9158
177,161.202,161.699,161.8448
178,162.131,162.6274,162.7682
179,163.0564,163.5054,163.6538
180,163.9404,164.42,164.562
181,164.847,165.3274,165.4712
182,165.756,166.196,166.3416
183,166.6264,167.0934,167.2374
184,167.5244,168.0044,168.1456
185,168.427,168.8664,169.01
186,169.2974,169.751,169.899
187,170.183,170.657,170.8002
188,171.0884,171.5344,171.6778
189,171.963,172.4414,172.584
190,172.8654,173.377,173.5184
191,173.806,174.263,174.401
192,174.685,175.154,175.3042
193,175.5904,176.0764,176.2224
194,176.51,176.9664,177.1092
195,177.3944,177.8874,178.0314
196,178.318,178.823,178.9634
197,179.2494,179.7154,179.8556
198,180.143,180.63,180.7734
199,181.0594,181.575,181.7186
200,182.007,182.4904,182.6322
201,182.9184,183.424,183.569
202,183.8564,184.3794,184.5228
203,184.8114,185.2974,185.437
204,185.72,186.222,186.3632
205,186.651,187.162,187.3072
